,BAC,C,WFC,JPM,GS,USB,PNC,TFC,FITB,STT,SCHW,MS,BLK,V
2023-05-29,28.260000228881836,44.70000076293945,40.97999954223633,137.4600067138672,330.8299865722656,30.65999984741211,118.8499984741211,31.09000015258789,25.450000762939453,69.33000183105469,53.84000015258789,83.41999816894531,673.5800170898438,221.63999938964844
2023-05-30,28.260000228881836,44.70000076293945,40.97999954223633,137.4600067138672,330.8299865722656,30.65999984741211,118.8499984741211,31.09000015258789,25.450000762939453,69.33000183105469,53.84000015258789,83.41999816894531,673.5800170898438,221.63999938964844
2023-05-31,27.790000915527344,44.31999969482422,39.810001373291016,135.7100067138672,323.8999938964844,29.899999618530273,115.83000183105469,30.469999313354492,24.270000457763672,68.0199966430664,52.689998626708984,81.76000213623047,657.5499877929688,221.02999877929688
2023-06-01,27.780000686645508,44.84000015258789,40.060001373291016,137.5800018310547,316.3999938964844,30.520000457763672,119.73999786376953,30.959999084472656,24.790000915527344,69.52999877929688,52.70000076293945,82.06999969482422,668.8400268554688,226.5
2023-06-02,28.709999084472656,46.31999969482422,41.2400016784668,140.47000122070312,323.6499938964844,31.739999771118164,123.58000183105469,32.08000183105469,25.950000762939453,71.55000305175781,54.369998931884766,84.3499984741211,681.8599853515625,228.7899932861328
2023-06-05,28.540000915527344,46.2400016784668,40.45000076293945,139.08999633789062,321.80999755859375,31.219999313354492,123.27999877929688,31.739999771118164,25.489999771118164,71.81999969482422,54.40999984741211,83.73999786376953,676.489990234375,226.77000427246094
2023-06-06,29.229999542236328,47.220001220703125,41.2599983215332,139.33999633789062,326.79998779296875,32.630001068115234,126.37999725341797,33.04999923706055,26.780000686645508,74.25,54.61000061035156,85.86000061035156,684.9199829101562,228.22000122070312
2023-06-07,29.479999542236328,48.0099983215332,42.06999969482422,140.69000244140625,335.75,33.2599983215332,127.55999755859375,33.47999954223633,27.1200008392334,74.62999725341797,55.630001068115234,86.5,678.22998046875,225.27000427246094
2023-06-08,29.229999542236328,48.099998474121094,42.369998931884766,140.72999572753906,335.4700012207031,33.060001373291016,128.86000061035156,33.150001525878906,26.969999313354492,73.52999877929688,55.029998779296875,86.30999755859375,680.5800170898438,223.0500030517578
2023-06-09,29.270000457763672,48.29999923706055,42.130001068115234,141.00999450683594,336.0199890136719,32.86000061035156,128.92999267578125,32.630001068115234,26.40999984741211,73.91000366210938,55.0,86.20999908447266,684.4000244140625,223.55999755859375
2023-06-12,29.1299991607666,48.45000076293945,41.83000183105469,141.0,339.489990234375,32.15999984741211,127.41000366210938,31.950000762939453,25.920000076293945,73.06999969482422,53.970001220703125,87.44000244140625,682.3800048828125,226.1699981689453
2023-06-13,29.399999618530273,48.689998626708984,42.650001525878906,142.02000427246094,342.5,32.70000076293945,128.86000061035156,32.400001525878906,26.639999389648438,74.06999969482422,54.75,88.27999877929688,689.0900268554688,223.39999389648438
2023-06-14,29.1200008392334,48.2400016784668,42.08000183105469,141.49000549316406,338.4200134277344,32.099998474121094,126.5199966430664,31.719999313354492,25.950000762939453,73.19999694824219,54.349998474121094,87.9800033569336,692.4500122070312,223.44000244140625
2023-06-15,29.3700008392334,48.560001373291016,42.36000061035156,143.08999633789062,339.739990234375,33.290000915527344,128.7899932861328,32.220001220703125,26.760000228881836,74.6500015258789,55.5099983215332,89.05000305175781,711.1900024414062,226.1699981689453
2023-06-16,29.190000534057617,48.189998626708984,42.18000030517578,143.25999450683594,338.30999755859375,33.45000076293945,128.47000122070312,31.899999618530273,26.540000915527344,73.7699966430664,54.400001525878906,88.08999633789062,702.780029296875,228.91000366210938
