,KB,우리,하나,신한
2021-05-27,55400.0,10900.0,44400.0,41500.0
2021-05-28,57000.0,11050.0,45550.0,42250.0
2021-05-31,58800.0,11150.0,46550.0,42450.0
2021-06-01,58800.0,11200.0,46450.0,43000.0
2021-06-02,58900.0,11250.0,47100.0,42850.0
2021-06-03,58300.0,11350.0,47350.0,42600.0
2021-06-04,57600.0,11600.0,46900.0,42450.0
2021-06-07,58000.0,11650.0,47100.0,42900.0
2021-06-08,57900.0,11650.0,46900.0,42750.0
2021-06-09,56900.0,11550.0,46050.0,42150.0
2021-06-10,57200.0,11400.0,46000.0,42450.0
2021-06-11,57000.0,11400.0,45850.0,42300.0
2021-06-14,56200.0,11300.0,44900.0,41150.0
2021-06-15,55900.0,11450.0,44750.0,41200.0
2021-06-16,56900.0,11900.0,46000.0,42000.0
2021-06-17,56900.0,11800.0,46000.0,41650.0
2021-06-18,56800.0,11600.0,45300.0,41100.0
2021-06-21,55100.0,11300.0,44500.0,39800.0
2021-06-22,55800.0,11450.0,45500.0,40750.0
2021-06-23,55500.0,11350.0,45000.0,40300.0
2021-06-24,56100.0,11650.0,45850.0,40750.0
2021-06-25,57300.0,11850.0,47350.0,41650.0
2021-06-28,57200.0,11950.0,47550.0,41800.0
2021-06-29,56100.0,11600.0,46500.0,40900.0
2021-06-30,55800.0,11450.0,46050.0,40600.0
2021-07-01,54700.0,11450.0,45300.0,40100.0
2021-07-02,54500.0,11550.0,45350.0,40250.0
2021-07-05,54000.0,11600.0,44950.0,39800.0
2021-07-06,53800.0,11600.0,44950.0,39900.0
2021-07-07,52800.0,11450.0,44000.0,39200.0
2021-07-08,52300.0,11450.0,43650.0,38950.0
2021-07-09,50400.0,11150.0,42500.0,38200.0
2021-07-12,51500.0,11250.0,43150.0,39150.0
2021-07-13,52200.0,11400.0,43700.0,39450.0
2021-07-14,51500.0,11350.0,43100.0,38600.0
2021-07-15,51800.0,11350.0,43800.0,38700.0
2021-07-16,52500.0,11350.0,43800.0,38750.0
2021-07-19,51100.0,11300.0,42800.0,38200.0
2021-07-20,50800.0,11250.0,42050.0,37550.0
2021-07-21,50600.0,11250.0,42200.0,37550.0
2021-07-22,51800.0,11650.0,43900.0,38450.0
2021-07-23,52200.0,11200.0,44100.0,38350.0
2021-07-26,51800.0,11000.0,43800.0,37950.0
2021-07-27,52100.0,11100.0,44150.0,38400.0
