Date,Close_1,Close_2,Close_3,Close_4
2023-01-10,57800,12700,49400,40900
2023-01-11,56400,12350,47800,40000
2023-01-12,56500,12350,48100,40050
2023-01-13,57400,12750,49500,41050
2023-01-16,60000,13300,52600,43800
2023-01-17,59100,12850,52200,43300
2023-01-18,58500,12800,51100,42700
2023-01-19,57200,12500,50800,42450
2023-01-20,57000,12700,51500,43300
2023-01-25,58500,12890,52400,44050
2023-01-26,58900,13370,53100,44900
2023-01-27,57700,13480,51800,44750
2023-01-30,57300,13440,51200,43250
2023-01-31,55900,12790,48750,41550
2023-02-01,57400,12800,49200,42450
2023-02-02,56400,12550,47650,41250
2023-02-03,56900,12520,48600,41650
2023-02-06,55700,12330,47850,40950
2023-02-07,55500,12300,48150,40800
2023-02-08,55700,12800,48900,41550
2023-02-09,54200,12430,47850,40000
2023-02-10,55700,12650,48850,41100
2023-02-13,55300,12950,49000,40800
2023-02-14,53000,12590,46850,39450
2023-02-15,50400,12200,44300,38050
2023-02-16,49800,12130,44400,37900
2023-02-17,50000,12400,46200,38350
2023-02-20,50700,12390,45850,38800
2023-02-21,50600,12390,46350,39050
2023-02-22,49700,12190,45000,38300
2023-02-23,50000,12210,45200,38650
2023-02-24,50700,12310,45300,38750
2023-02-27,50600,12150,45500,38450
2023-02-28,51300,12200,45400,38850
2023-03-02,50600,11960,44700,37700
2023-03-03,50000,11710,44000,37050
2023-03-06,50200,11690,43450,37050
2023-03-07,50800,11780,43800,36800
2023-03-08,50600,11650,43500,36600
2023-03-09,50700,11580,42800,36400
2023-03-10,49700,11300,42250,35800
2023-03-13,50300,11400,42700,36050
2023-03-14,48400,11010,41050,35100
2023-03-15,49000,11100,42000,35450
2023-03-16,48050,10950,40650,34450
2023-03-17,48450,11090,41300,34550
2023-03-20,48400,11020,41300,34700
2023-03-21,48450,11270,42050,34950
2023-03-22,49150,11240,41550,35450
2023-03-23,48950,11180,41950,35750
2023-03-24,47050,11010,40350,34550
2023-03-27,46700,10990,40100,34850
2023-03-28,47900,11190,40750,35950
2023-03-29,48050,11250,40450,36200
2023-03-30,47200,11180,40300,35100
2023-03-31,47650,11410,40700,35350
2023-04-03,47300,11270,40600,34550
2023-04-04,47750,11350,41200,35150
2023-04-05,47850,11310,41200,35050
2023-04-06,46650,11090,40350,34300
2023-04-07,47000,11320,40800,34900
2023-04-10,46550,11200,40450,34550
2023-04-11,46950,11310,41050,34650
2023-04-12,46900,11390,41500,34700
2023-04-13,47200,11390,40750,34900
2023-04-14,48650,11670,42200,35350
2023-04-17,48400,11570,41500,35500
2023-04-18,48400,11660,42000,35250
2023-04-19,49450,11740,42200,35650
2023-04-20,50400,11760,42550,35900
2023-04-21,50100,11750,42150,35850
2023-04-24,49200,11670,41600,35350
2023-04-25,49750,11920,42100,35650
2023-04-26,48950,11750,42050,35350
2023-04-27,48250,11620,41650,34900
2023-04-28,49500,11730,41950,34950
2023-05-02,49500,11720,42400,35450
2023-05-03,48300,11560,41550,34850
2023-05-04,48700,11650,41600,35050
2023-05-08,49250,11770,42300,35750
2023-05-09,49150,11820,42200,35550
2023-05-10,48600,11680,40850,34800
2023-05-11,49200,11820,41900,35300
2023-05-12,48600,11750,41100,34650
2023-05-15,48800,11810,41150,34750
2023-05-16,49300,11800,41450,34550
2023-05-17,48850,11710,41250,34600
2023-05-18,49500,11860,41850,34900
2023-05-19,49500,12040,42100,35200
2023-05-22,49350,12030,41900,35300
2023-05-23,49400,12000,41800,35250
2023-05-24,49300,12010,41650,35400
2023-05-25,48300,11880,41050,35000
2023-05-26,47950,11870,40750,34800
2023-05-30,48350,11960,41250,35200
2023-05-31,48000,11980,41450,35050
2023-06-01,46800,11840,41000,34700
2023-06-02,47450,11890,41650,34950
2023-06-05,48550,12040,41950,35250
2023-06-07,48400,11970,41900,35200
2023-06-08,48450,12010,41500,35300
2023-06-09,49450,12180,42200,35700
2023-06-12,48750,12070,41700,35250
2023-06-13,48500,12010,41000,35050
2023-06-14,48550,11920,41050,34800
2023-06-15,48200,11910,40900,34800
2023-06-16,48300,11890,40850,34800
2023-06-19,48150,11940,40750,34550
2023-06-20,47850,12010,40500,34600
2023-06-21,46900,11880,40100,34250
2023-06-22,47800,12050,40600,34750
2023-06-23,46950,11930,39950,34400
2023-06-26,47200,11960,39650,34650
2023-06-27,47550,11960,39850,34650
2023-06-28,48150,11980,40250,34700
2023-06-29,47100,11610,38800,33850
2023-06-30,47750,11790,39200,34000
2023-07-03,48650,11930,40200,34500
2023-07-04,48400,11810,39550,34100
2023-07-05,47750,11700,39050,33750
2023-07-06,46700,11400,38000,33050
2023-07-07,46500,11360,37700,32500
2023-07-10,46750,11390,37950,32700
2023-07-11,47250,11490,38450,33150
2023-07-12,47000,11550,38500,33350
2023-07-13,47100,11600,38150,33350
2023-07-14,48750,11790,39300,34100
2023-07-17,48650,11710,39050,34050
2023-07-18,48150,11650,39000,33600
2023-07-19,48150,11660,38750,33550
2023-07-20,48200,11640,38950,33800
2023-07-21,48650,11760,39150,33950
2023-07-24,47650,11670,38500,33300
2023-07-25,47650,11640,38550,33050
2023-07-26,49600,11770,39400,33400
2023-07-27,51700,12140,41200,35150
2023-07-28,51100,11480,39700,34900
2023-07-31,51000,11650,39300,35050
2023-08-01,52800,11700,39900,35950
2023-08-02,52600,11650,39400,35600
2023-08-03,51200,11570,38450,34950
2023-08-04,52000,11600,38550,35100
2023-08-07,51200,11530,38550,35550
2023-08-08,51800,11520,38450,35650
2023-08-09,50800,11420,37900,35100
2023-08-10,51400,11390,37900,34800
2023-08-11,51600,11420,38200,34800
2023-08-14,51600,11440,38300,34950
2023-08-16,51000,11320,37850,34550
