시점,서울특별시,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2023.02,123266,2062,1658,3040,4146,4617,5025,3783,5668,2831,2701,5808,5515,4483,5533,5234,6879,3917,2596,5284,6435,8262,5292,8126,8937,5434
2023.03,117601,2124,1624,2959,3855,4564,4302,4164,4917,2996,2853,5081,4944,3744,4916,4566,6752,4276,2784,5147,5663,8005,4961,8257,8957,5190
2023.04,93110,1408,1295,2406,2775,3584,3053,3353,3605,2576,2465,4014,4224,2757,3832,3511,5755,3425,2595,4285,4361,6291,3918,6102,7079,4441
2023.05,102676,1698,1481,2623,2989,3905,3339,3706,3889,2930,2630,4333,4537,3187,4335,4004,6598,3805,2641,4804,4937,6783,4295,6657,7757,4813
2023.06,95204,1469,1301,2474,2964,3540,3708,3583,3862,2852,2688,4446,4106,2867,3792,3695,5780,3579,2375,4485,4171,6187,4029,5774,6981,4496
2023.07,97209,1524,1482,2544,3057,3619,3708,3569,4100,2550,2733,4856,4057,3050,4004,3602,5776,3479,2317,4430,4033,6363,4412,6325,7061,4558
2023.08,112732,1768,1630,2988,3510,4410,4606,3941,4677,2970,2975,5379,5085,3668,4775,4552,6727,3678,2599,5112,4692,7418,5608,7603,7442,4919
2023.09,94441,1465,1460,2593,3080,3563,3528,3317,3886,2448,2536,4136,4422,2872,3945,3459,5841,3385,2415,4068,4145,6104,5181,5974,6298,4320
2023.10,105014,1731,1570,3040,3214,3725,3810,3838,4214,2906,2859,4697,4637,3269,4123,4088,6521,3646,2561,4741,4418,6712,5813,6682,7081,5118
2023.11,99299,1420,1426,3200,3064,3799,3299,3707,3787,2744,2606,4281,4265,2897,3866,3939,6374,3574,2575,4319,4155,6317,5461,6462,6840,4922
2023.12,103413,1464,1314,3435,2881,3709,3485,3785,3935,2763,2553,4696,4248,3085,4064,4196,6189,3671,2505,4430,4370,6619,5587,7936,7649,4844
2024.01,111982,1704,1551,3600,3410,4104,4178,3795,4764,2880,2665,5423,4326,3586,4429,4680,6564,3868,2604,4930,5140,7486,5084,8937,7456,4818
2024.02,134906,2208,1908,3988,4365,5038,5441,4186,6277,3176,2992,6485,5268,4746,5902,5378,7347,4455,2692,5684,6443,8683,6185,10088,9657,6314
2024.03,109721,1798,1617,4053,3309,4083,3874,4090,4728,3175,2838,4830,4424,3671,4526,3860,6581,3896,2672,4731,4845,7391,4548,7059,7651,5471
2024.04,106623,1625,1566,4537,3065,4083,3714,4148,4074,2912,2770,4485,4771,2975,4260,4062,6466,3955,2871,4713,4814,7397,4288,6624,7274,5174
2024.05,99119,1469,1416,3862,2799,3779,3371,3915,4025,2653,2875,4303,4643,2975,4031,3882,6084,3768,2735,4309,4769,6613,3989,5592,6763,4499
2024.06,86740,1278,1297,2341,2502,3193,3022,3306,3646,2425,2427,4024,4396,2668,3648,3248,5590,3266,2320,3871,3867,5816,3649,5243,5778,3919
2024.07,103617,1502,1558,2733,3167,3814,3647,3748,4103,2842,2825,4523,4953,3322,4235,4072,6443,3802,2529,4607,4712,6954,4459,6696,7291,5080
2024.08,107138,1788,1520,2559,3374,3833,3986,3986,4640,2916,2733,4736,4922,3416,4330,4397,6401,3906,2729,4890,5103,7024,4633,6609,7587,5120
2024.09,95202,1435,1437,2283,3040,3362,3436,3676,4027,2821,2573,4348,4398,3213,3854,3604,5692,3469,2469,4347,4183,6209,3981,5803,6837,4705
