"시점",서울특별시,서울특별시,서울특별시,종로구,종로구,종로구,중구,중구,중구,용산구,용산구,용산구,성동구,성동구,성동구,광진구,광진구,광진구,동대문구,동대문구,동대문구,중랑구,중랑구,중랑구,성북구,성북구,성북구,강북구,강북구,강북구,도봉구,도봉구,도봉구,노원구,노원구,노원구,은평구,은평구,은평구,서대문구,서대문구,서대문구,마포구,마포구,마포구,양천구,양천구,양천구,강서구,강서구,강서구,구로구,구로구,구로구,금천구,금천구,금천구,영등포구,영등포구,영등포구,동작구,동작구,동작구,관악구,관악구,관악구,서초구,서초구,서초구,강남구,강남구,강남구,송파구,송파구,송파구,강동구,강동구,강동구
"시점",총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명)
"2020.10",126788,137100,-10312,1771,1988,-217,1530,1681,-151,3590,3363,227,3714,4456,-742,4497,4943,-446,4057,4631,-574,4790,5147,-357,4901,5684,-783,3226,3857,-631,3711,4271,-560,5108,6015,-907,5809,6145,-336,4047,4435,-388,5164,5780,-616,5045,5628,-583,7423,8375,-952,5061,5311,-250,2892,2939,-47,7013,5872,1141,4926,5822,-896,6676,8125,-1449,7508,8036,-528,9327,8464,863,8417,9948,-1531,6585,6184,401
"2020.11",117563,127049,-9486,1755,1883,-128,1556,1701,-145,3130,3006,124,3152,3806,-654,4295,4645,-350,3947,4359,-412,4544,4897,-353,4526,5410,-884,3316,3900,-584,3284,3789,-505,4770,5519,-749,5460,5946,-486,3601,4042,-441,4873,5475,-602,4446,5033,-587,7112,7820,-708,4649,5003,-354,2847,3036,-189,6825,5558,1267,4613,5400,-787,6943,7979,-1036,5746,5911,-165,7572,7869,-297,8892,9423,-531,5709,5639,70
"2020.12",133111,144245,-11134,1889,1984,-95,1661,1914,-253,3397,3483,-86,3650,4417,-767,4851,5457,-606,4260,4797,-537,4538,4993,-455,4850,5676,-826,3587,4002,-415,3400,4125,-725,6707,7327,-620,5512,6268,-756,4308,4418,-110,5313,5810,-497,5122,5916,-794,7582,9286,-1704,4579,5407,-828,2942,3204,-262,6979,5825,1154,5337,6045,-708,8117,9085,-968,6483,6850,-367,8882,9458,-576,10198,10834,-636,8967,7664,1303
"2021.01",114415,124855,-10440,1658,1887,-229,1585,1758,-173,2892,2894,-2,3298,3809,-511,4059,4684,-625,3537,4299,-762,4266,4427,-161,6304,5743,561,2906,3389,-483,2601,3486,-885,5328,6452,-1124,4490,5063,-573,3507,3940,-433,4538,4914,-376,4096,4973,-877,6247,7255,-1008,3675,4627,-952,2551,2652,-101,5631,5038,593,4646,5464,-818,7286,8112,-826,5255,5729,-474,7487,8193,-706,8829,9646,-817,7743,6421,1322
"2021.02",141936,151351,-9415,2288,2490,-202,1854,2052,-198,3768,3647,121,4237,4826,-589,4726,5546,-820,5209,5442,-233,4499,5039,-540,7351,7051,300,3208,4006,-798,3151,3946,-795,6149,7556,-1407,5008,5895,-887,4599,5176,-577,5731,6035,-304,7471,6567,904,8317,8459,-142,4350,5253,-903,2600,2934,-334,6206,6076,130,6461,7176,-715,8358,9133,-775,6476,7416,-940,9379,10064,-685,10344,12160,-1816,10196,7406,2790
"2021.03",151617,157833,-6216,2644,2697,-53,1966,2144,-178,4462,3882,580,4656,5041,-385,5432,5827,-395,5640,5544,96,5129,5652,-523,6761,6949,-188,3802,4286,-484,3754,4319,-565,6372,7049,-677,6021,6651,-630,4930,5090,-160,6599,6786,-187,6162,6402,-240,9737,9491,246,5175,5421,-246,3388,3440,-52,6206,6220,-14,7245,6856,389,9971,10248,-277,6102,7127,-1025,8868,10145,-1277,10653,12743,-2090,9942,7823,2119
"2021.04",117475,127213,-9738,1817,1978,-161,1623,1680,-57,2991,3253,-262,3329,3744,-415,4431,4839,-408,3853,4217,-364,4392,4923,-531,4881,5319,-438,3372,3758,-386,3267,3695,-428,4761,5501,-740,5167,5799,-632,3333,3936,-603,6446,5431,1015,4325,4908,-583,7919,7733,186,4064,4686,-622,2857,3062,-205,5419,5391,28,5479,5563,-84,7346,8138,-792,4685,5729,-1044,6479,7730,-1251,8787,10097,-1310,6452,6103,349
"2021.05",112967,121276,-8309,1726,1918,-192,1634,1744,-110,3074,3338,-264,3191,3640,-449,4220,4438,-218,3753,4002,-249,4217,4721,-504,4309,4704,-395,3156,3560,-404,3297,3658,-361,4457,5121,-664,5958,5655,303,3378,3818,-440,5448,5089,359,4227,4805,-578,7601,7766,-165,3908,4440,-532,3308,3101,207,4917,5137,-220,5001,5281,-280,7159,7426,-267,4530,5531,-1001,6628,7706,-1078,8295,9135,-840,5575,5542,33
"2021.06",104704,112992,-8288,1618,1916,-298,1545,1621,-76,2824,3170,-346,2917,3485,-568,3845,4178,-333,3566,3756,-190,3926,4415,-489,4039,4346,-307,2936,3384,-448,3117,3372,-255,4192,4710,-518,5611,5358,253,3091,3394,-303,4780,4618,162,3900,4476,-576,6991,7019,-28,3510,4265,-755,3145,2818,327,4421,4668,-247,4517,4803,-286,6760,7086,-326,5306,6094,-788,6222,6828,-606,7051,8002,-951,4874,5210,-336
"2021.07",111646,120075,-8429,1715,2035,-320,1685,1752,-67,2944,3371,-427,3091,3591,-500,3988,4385,-397,3747,3816,-69,3917,4467,-550,4242,4553,-311,2885,3362,-477,3084,3503,-419,4114,4942,-828,4847,5201,-354,3139,3388,-249,4827,4800,27,4161,4733,-572,6809,7329,-520,3775,4351,-576,3125,2633,492,4660,4755,-95,5575,5643,-68,7240,7484,-244,8301,8499,-198,6718,7633,-915,7507,8191,-684,5550,5658,-108
"2021.08",125161,133278,-8117,1980,2114,-134,1780,1864,-84,2785,3785,-1000,3405,3943,-538,4246,4875,-629,4300,4370,-70,4776,5241,-465,4612,5123,-511,3196,3778,-582,3181,3802,-621,4589,5703,-1114,5100,5669,-569,3510,3851,-341,5253,5368,-115,4397,5246,-849,6750,7496,-746,3853,4775,-922,3115,3005,110,4969,4799,170,5734,6018,-284,7957,8106,-149,8243,9078,-835,11556,9317,2239,10350,9541,809,5524,6411,-887
"2021.09",110490,118609,-8119,1748,1758,-10,1675,1685,-10,2612,3444,-832,3049,3502,-453,4163,4559,-396,3902,3899,3,4593,4916,-323,4180,4383,-203,2745,3199,-454,2817,3248,-431,4194,5138,-944,4743,5086,-343,3217,3443,-226,4548,4717,-169,3821,4401,-580,6795,7306,-511,3906,4342,-436,2765,2888,-123,4487,4660,-173,4881,5318,-437,7257,7497,-240,6262,7618,-1356,8072,7548,524,8690,8378,312,5368,5676,-308
