"시점",서울특별시,서울특별시,서울특별시,종로구,종로구,종로구,중구,중구,중구,용산구,용산구,용산구,성동구,성동구,성동구,광진구,광진구,광진구,동대문구,동대문구,동대문구,중랑구,중랑구,중랑구,성북구,성북구,성북구,강북구,강북구,강북구,도봉구,도봉구,도봉구,노원구,노원구,노원구,은평구,은평구,은평구,서대문구,서대문구,서대문구,마포구,마포구,마포구,양천구,양천구,양천구,강서구,강서구,강서구,구로구,구로구,구로구,금천구,금천구,금천구,영등포구,영등포구,영등포구,동작구,동작구,동작구,관악구,관악구,관악구,서초구,서초구,서초구,강남구,강남구,강남구,송파구,송파구,송파구,강동구,강동구,강동구
"시점",총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명)
"2023.06",90971,95204,-4233,1317,1469,-152,1404,1301,103,2336,2474,-138,2586,2964,-378,3134,3540,-406,4166,3708,458,3234,3583,-349,3412,3862,-450,2367,2852,-485,2162,2688,-526,3422,4446,-1024,3866,4106,-240,2827,2867,-40,3624,3792,-168,3424,3695,-271,5387,5780,-393,3421,3579,-158,2360,2375,-15,4263,4485,-222,4188,4171,17,5979,6187,-208,4035,4029,6,7085,5774,1311,6815,6981,-166,4157,4496,-339
"2023.07",94517,97209,-2692,1369,1524,-155,1511,1482,29,2291,2544,-253,2791,3057,-266,3623,3619,4,4290,3708,582,3013,3569,-556,3510,4100,-590,2288,2550,-262,2265,2733,-468,4874,4856,18,4520,4057,463,2810,3050,-240,3851,4004,-153,3372,3602,-230,5231,5776,-545,3367,3479,-112,2183,2317,-134,4218,4430,-212,3965,4033,-68,5865,6363,-498,4626,4412,214,7972,6325,1647,6513,7061,-548,4199,4558,-359
"2023.08",111712,112732,-1020,1609,1768,-159,1693,1630,63,2519,2988,-469,3083,3510,-427,4762,4410,352,6398,4606,1792,3381,3941,-560,4335,4677,-342,2635,2970,-335,2581,2975,-394,5244,5379,-135,7447,5085,2362,3493,3668,-175,4379,4775,-396,4111,4552,-441,5586,6727,-1141,3293,3678,-385,2405,2599,-194,4645,5112,-467,4602,4692,-90,6859,7418,-559,5472,5608,-136,9443,7603,1840,7001,7442,-441,4736,4919,-183
"2023.09",93071,94441,-1370,1402,1465,-63,1386,1460,-74,2158,2593,-435,2710,3080,-370,3747,3563,184,4495,3528,967,3084,3317,-233,3484,3886,-402,2134,2448,-314,2367,2536,-169,4255,4136,119,5614,4422,1192,2663,2872,-209,3630,3945,-315,3226,3459,-233,4975,5841,-866,2929,3385,-456,2191,2415,-224,4077,4068,9,3849,4145,-296,5362,6104,-742,7001,5181,1820,6166,5974,192,5869,6298,-429,4297,4320,-23
"2023.10",100287,105014,-4727,1491,1731,-240,1505,1570,-65,2423,3040,-617,2862,3214,-352,3508,3725,-217,4202,3810,392,3543,3838,-295,3552,4214,-662,2386,2906,-520,2698,2859,-161,4350,4697,-347,5026,4637,389,2862,3269,-407,3883,4123,-240,3974,4088,-114,5890,6521,-631,3256,3646,-390,2323,2561,-238,4496,4741,-245,4010,4418,-408,5650,6712,-1062,7251,5813,1438,7314,6682,632,6722,7081,-359,5110,5118,-8
"2023.11",93060,99299,-6239,1382,1420,-38,1510,1426,84,2298,3200,-902,2808,3064,-256,3381,3799,-418,3421,3299,122,3456,3707,-251,3314,3787,-473,2277,2744,-467,2354,2606,-252,3921,4281,-360,4255,4265,-10,2649,2897,-248,3818,3866,-48,3308,3939,-631,6384,6374,10,3160,3574,-414,2113,2575,-462,4164,4319,-155,3862,4155,-293,5273,6317,-1044,5827,5461,366,6126,6462,-336,6424,6840,-416,5575,4922,653
"2023.12",99596,103413,-3817,1443,1464,-21,1421,1314,107,2234,3435,-1201,2543,2881,-338,3451,3709,-258,3210,3485,-275,4152,3785,367,3323,3935,-612,2261,2763,-502,2533,2553,-20,4025,4696,-671,4131,4248,-117,2799,3085,-286,3916,4064,-148,3796,4196,-400,5699,6189,-490,3139,3671,-532,2309,2505,-196,4307,4430,-123,3963,4370,-407,5957,6619,-662,5122,5587,-465,11692,7936,3756,6994,7649,-655,5176,4844,332
"2024.01",111217,111982,-765,1725,1704,21,1587,1551,36,2638,3600,-962,3147,3410,-263,3903,4104,-201,4103,4178,-75,3998,3795,203,4152,4764,-612,2398,2880,-482,2568,2665,-97,4535,5423,-888,4137,4326,-189,3257,3586,-329,4396,4429,-33,4268,4680,-412,6104,6564,-460,3726,3868,-142,2612,2604,8,5079,4930,149,4760,5140,-380,7497,7486,11,5165,5084,81,13140,8937,4203,7290,7456,-166,5032,4818,214
"2024.02",138040,134906,3134,2356,2208,148,2050,1908,142,3067,3988,-921,4202,4365,-163,4948,5038,-90,6110,5441,669,4268,4186,82,6283,6277,6,2846,3176,-330,2891,2992,-101,6449,6485,-36,4914,5268,-354,4852,4746,106,5878,5902,-24,5161,5378,-217,6849,7347,-498,3817,4455,-638,2553,2692,-139,5650,5684,-34,6387,6443,-56,8733,8683,50,6376,6185,191,14454,10088,4366,9557,9657,-100,7389,6314,1075
"2024.03",108484,109721,-1237,1861,1798,63,1794,1617,177,2689,4053,-1364,3351,3309,42,3988,4083,-95,4297,3874,423,3818,4090,-272,4826,4728,98,2651,3175,-524,2726,2838,-112,4879,4830,49,4400,4424,-24,3770,3671,99,4560,4526,34,3174,3860,-686,5951,6581,-630,3612,3896,-284,2612,2672,-60,4870,4731,139,5222,4845,377,7606,7391,215,4363,4548,-185,7752,7059,693,7428,7651,-223,6284,5471,813
"2024.04",100781,106623,-5842,1595,1625,-30,1603,1566,37,2668,4537,-1869,2905,3065,-160,3794,4083,-289,3771,3714,57,3914,4148,-234,3918,4074,-156,2518,2912,-394,2597,2770,-173,3908,4485,-577,4513,4771,-258,3030,2975,55,4055,4260,-205,3537,4062,-525,5790,6466,-676,3490,3955,-465,2707,2871,-164,4632,4713,-81,4999,4814,185,7229,7397,-168,3979,4288,-309,6948,6624,324,6950,7274,-324,5731,5174,557
"2024.05",93236,99119,-5883,1409,1469,-60,1347,1416,-69,2389,3862,-1473,2665,2799,-134,3426,3779,-353,3117,3371,-254,3772,3915,-143,3762,4025,-263,2441,2653,-212,2554,2875,-321,3766,4303,-537,4383,4643,-260,2694,2975,-281,3728,4031,-303,3500,3882,-382,5513,6084,-571,3325,3768,-443,2629,2735,-106,4271,4309,-38,4455,4769,-314,6382,6613,-231,3722,3989,-267,6824,5592,1232,6375,6763,-388,4787,4499,288
"2024.06",81182,86740,-5558,1143,1278,-135,1246,1297,-51,1934,2341,-407,2295,2502,-207,2954,3193,-239,2701,3022,-321,2986,3306,-320,3549,3646,-97,2049,2425,-376,2246,2427,-181,3397,4024,-627,3903,4396,-493,2344,2668,-324,3518,3648,-130,2989,3248,-259,4789,5590,-801,2872,3266,-394,2158,2320,-162,3726,3871,-145,3621,3867,-246,5564,5816,-252,3691,3649,42,5814,5243,571,5367,5778,-411,4326,3919,407
"2024.07",98177,103617,-5440,1429,1502,-73,1514,1558,-44,2303,2733,-430,2727,3167,-440,3566,3814,-248,3450,3647,-197,3580,3748,-168,3790,4103,-313,2479,2842,-363,2582,2825,-243,3857,4523,-666,4317,4953,-636,3052,3322,-270,4205,4235,-30,3794,4072,-278,5742,6443,-701,3453,3802,-349,2405,2529,-124,4491,4607,-116,4350,4712,-362,6527,6954,-427,4624,4459,165,7200,6696,504,6774,7291,-517,5966,5080,886
"2024.08",103290,107138,-3848,1653,1788,-135,1559,1520,39,2343,2559,-216,2958,3374,-416,3653,3833,-180,3853,3986,-133,3762,3986,-224,4601,4640,-39,2672,2916,-244,2384,2733,-349,4235,4736,-501,4312,4922,-610,3200,3416,-216,4204,4330,-126,4223,4397,-174,5750,6401,-651,3592,3906,-314,2507,2729,-222,4603,4890,-287,4606,5103,-497,6708,7024,-316,4828,4633,195,7709,6609,1100,6970,7587,-617,6405,5120,1285
"2024.09",90902,95202,-4300,1394,1435,-41,1358,1437,-79,2047,2283,-236,2637,3040,-403,3056,3362,-306,3244,3436,-192,3481,3676,-195,3751,4027,-276,3036,2821,215,2274,2573,-299,4053,4348,-295,3724,4398,-674,2964,3213,-249,3582,3854,-272,3451,3604,-153,5403,5692,-289,3327,3469,-142,2207,2469,-262,4241,4347,-106,3921,4183,-262,5826,6209,-383,4159,3981,178,5925,5803,122,6922,6837,85,4919,4705,214
