업종;절대효과;상대효과;p-value
외국인관광도시민박업;16.78;851.96%;0.0
물류창고업체;4.73;44.9%;0.01
장례지도사 교육기관;0.09;-100.0%;0.4
복합영상물제공업;0.57;-100.0%;0.0
안전상비의약품 판매업소;45.39;18.0%;0.04
승강기유지관리업체;-0.16;-24.02%;0.43
후원방문판매업체;104.82;73.86%;0.0
환경관리대행기관;-3.55;-82.55%;0.06
요트장업;-0.1;-100.0%;0.19
승강기제조및수입업체;-2.23;-100.0%;0.0
일반야영장업;4.02;134.86%;0.2
골프장;4.02;134.86%;0.19
동물장묘업;4.02;134.86%;0.2
동물미용업;34.54;66.16%;0.0
동물위탁관리업;35.61;93.36%;0.0
동물운송업;30.44;295.23%;0.0
동물전시업;5.42;85.7%;0.01
