업종;절대효과;상대효과;p-value
동물수입업;-2.51;-55.68%;0.0
환경컨설팅회사;-0.12;-6.38%;0.45
외국인관광도시민박업;1.64;14.71%;0.42
물류창고업체;2.72;36.13%;0.07
장례지도사 교육기관;0.02;10.0%;0.48
복합영상물제공업;0.52;-100.0%;0.01
안전상비의약품 판매업소;46.28;19.93%;0.04
승강기유지관리업체;1.84;203.5%;0.01
후원방문판매업체;-4.03;-3.43%;0.41
환경관리대행기관;-4.07;-76.51%;0.05
요트장업;-0.42;-100.0%;0.0
승강기제조및수입업체;-0.24;-24.57%;0.23
일반야영장업;8.52;-375.83%;0.04
골프장;8.52;-375.83%;0.03
동물장묘업;8.52;-375.83%;0.06
동물미용업;-6.86;-12.11%;0.17
동물위탁관리업;-10.51;-20.21%;0.06
동물운송업;-0.11;-0.93%;0.48
동물전시업;-2.97;-30.52%;0.12
