업종;절대효과;상대효과;p-value
전력기술감리업체;-2.05;-29.03%;0.08
전력기술설계업체;-0.54;-11.31%;0.35
전화권유판매업;-10.36;-19.32%;0.01
제과점영업;5.74;5.06%;0.21
제재업;-3.3;-29.86%;0.08
종축업;-4.03;-64.15%;0.0
종합여행업;-0.59;-2.69%;0.47
종합체육시설업;0.95;90.5%;0.03
즉석판매제조가공업;336.07;53.46%;0.0
지하수시공업체;-3.39;-20.71%;0.18
지하수영향조사기관;-3.4;-51.12%;0.02
지하수정화업체;-0.33;-39.95%;0.26
집단급식소;-31.58;-17.94%;0.13
집단급식소식품판매업;-18.91;-26.76%;0.02
집유업;0.04;-100.0%;0.31
청소년게임제공업;-10.33;-28.04%;0.01
체력단련장업;17.09;17.19%;0.0
체육도장업;-54.94;-50.32%;0.0
축산가공업;4.49;12.74%;0.1
축산물보관업;2.68;104.3%;0.03
축산물운반업;3.76;40.68%;0.07
축산판매업;37.51;13.49%;0.04
출판사;-15.59;-3.92%;0.27
치과기공소;2.7;21.49%;0.14
통신판매업;218.74;1.49%;0.37
특정고압가스업;12.32;63.42%;0.14
한옥체험업;-5.71;-44.92%;0.01
환경관리대행기관;0.93;15.28%;0.23
환경전문공사업;-0.02;-0.1%;0.49
환경측정대행업;14.37;-396.64%;0.0
환경컨설팅회사;0.53;21.66%;0.26
후원방문판매업체;2.26;4.13%;0.39
휴게음식점;29.26;1.61%;0.38
