업종;절대효과;상대효과;p-value
전화권유판매업;-1.53;-3.16%;0.39
제과점영업;-6.27;-3.42%;0.21
제재업;-1.81;-17.13%;0.21
종축업;2.75;-366.83%;0.0
종합여행업;-14.87;-12.75%;0.0
종합체육시설업;2.26;-21057.9%;0.0
즉석판매제조가공업;65.99;6.87%;0.14
지하수시공업체;-2.7;-13.88%;0.14
지하수영향조사기관;-2.69;-37.4%;0.04
지하수정화업체;0.18;56.73%;0.35
집단급식소;-34.99;-24.34%;0.13
집단급식소식품판매업;-52.85;-52.8%;0.0
집유업;0.09;-100.0%;0.18
청소년게임제공업;14.65;75.68%;0.0
체력단련장업;-20.33;-10.42%;0.0
체육도장업;-88.64;-61.82%;0.0
축산가공업;-2.62;-6.29%;0.28
축산물보관업;4.9;91.51%;0.0
축산물운반업;19.51;300.69%;0.0
축산판매업;-31.27;-9.73%;0.09
출판사;-31.17;-7.48%;0.13
치과기공소;-0.18;-1.06%;0.44
통신판매업;2738.9;19.05%;0.02
특정고압가스업;-13.7;-28.58%;0.0
한옥체험업;3.31;20.42%;0.04
환경관리대행기관;-6.16;-24.49%;0.0
환경전문공사업;-7.52;-14.96%;0.0
환경측정대행업;-11.62;-34.57%;0.0
환경컨설팅회사;-1.49;-24.89%;0.1
후원방문판매업체;-108.95;-32.89%;0.0
휴게음식점;166.26;7.3%;0.06
