업종;절대효과;상대효과;p-value
전력기술감리업체;-0.45;-4.78%;0.42
전력기술설계업체;-0.78;-11.51%;0.3
전화권유판매업;-0.86;-1.6%;0.44
제과점영업;12.48;7.45%;0.08
제재업;0.2;1.88%;0.44
종축업;-0.86;-32.94%;0.11
종합여행업;-1.68;-1.39%;0.43
종합체육시설업;0.38;44.47%;0.24
즉석판매제조가공업;198.68;22.17%;0.0
지하수시공업체;0.79;4.61%;0.34
지하수영향조사기관;3.59;69.42%;0.02
지하수정화업체;0.18;245.0%;0.38
집단급식소;14.36;13.79%;0.28
집단급식소식품판매업;-16.13;-18.2%;0.06
집유업;-0.07;-100.0%;0.26
청소년게임제공업;-4.26;-13.43%;0.14
체력단련장업;-13.87;-8.01%;0.07
체육도장업;-12.23;-15.1%;0.25
축산가공업;3.45;9.06%;0.17
축산물보관업;3.63;42.03%;0.01
축산물운반업;7.93;42.11%;0.06
축산판매업;23.89;7.85%;0.15
출판사;11.67;2.65%;0.33
치과기공소;1.11;6.56%;0.25
통신판매업;-1293.59;-6.29%;0.21
특정고압가스업;-0.48;-1.55%;0.45
한옥체험업;1.94;8.49%;0.18
환경관리대행기관;14.38;42.78%;0.0
환경전문공사업;-3.44;-5.05%;0.12
환경측정대행업;33.82;71.29%;0.0
환경컨설팅회사;-1.04;-4.39%;0.47
후원방문판매업체;-102.26;-43.56%;0.0
휴게음식점;292.67;12.95%;0.01
