업종;절대효과;상대효과;p-value
상조업;-0.06;-100.0%;0.34
관광유흥음식점업;-0.06;-100.0%;0.38
동물수입업;-2.42;-65.9%;0.0
환경컨설팅회사;-0.9;-100.0%;0.05
외국인관광도시민박업;-2.66;-19.12%;0.32
물류창고업체;-12.67;-66.1%;0.0
장례지도사 교육기관;0.29;-783.75%;0.11
복합영상물제공업;0.14;-100.0%;0.24
안전상비의약품 판매업소;2.79;1.01%;0.46
승강기유지관리업체;-0.3;-100.0%;0.33
후원방문판매업체;50.93;18.5%;0.01
환경관리대행기관;0.35;54.57%;0.44
요트장업;0.08;46.42%;0.28
승강기제조및수입업체;-0.35;-100.0%;0.18
일반야영장업;-1.72;-40.82%;0.34
골프장;-1.72;-40.82%;0.33
동물장묘업;-1.72;-40.82%;0.36
동물미용업;-24.7;-32.85%;0.01
동물위탁관리업;-14.41;-24.05%;0.07
동물운송업;-12.72;-36.89%;0.02
동물전시업;0.62;6.48%;0.39
