요트장업,0.09%,250.93%,0.13
용기·포장지제조업,1.66%,16.71%,0.13
용기냉동기특정설비,-0.54%,-8.05%,0.34
원목생산업,5.76%,54.29%,0.0
위탁급식영업,15.93%,17.96%,0.13
유료직업소개소,55.31%,49.8%,0.0
유원시설업(기타),5.78%,26.9%,0.02
유통전문판매업,1.51%,0.54%,0.46
유흥주점영업,14.11%,64.45%,0.0
음반.음악영상물배급업,0.88%,17.5%,0.21
음반.음악영상물제작업,11.09%,41.38%,0.0
음반물배급업,-0.32%,-100.0%,0.09
음반물제작업,-1.73%,-100.0%,0.03
응급환자이송업,0.29%,39.92%,0.2
의료기관세탁물처리업,-0.62%,-83.32%,0.03
의료기기수리업,-3.4%,-19.56%,0.08
의료기기판매(임대)업,522.82%,31.87%,0.34
의료법인,-0.42%,-35.99%,0.19
의료유사업,0.79%,13.19%,0.24
의원,4.22%,1.92%,0.42
이용업,9.98%,20.46%,0.03
인쇄사,-8.14%,-17.03%,0.06
인터넷컴퓨터게임시설제공업,57.01%,42.47%,0.0
일반게임제공업,10.09%,39.91%,0.02
일반야영장업,20.91%,102.14%,0.0
일반유원시설업,2.86%,108.07%,0.0
일반음식점,968.91%,22.36%,0.0
자동차야영장업,3.82%,83.95%,0.0
장례지도사 교육기관,0.18%,31.13%,0.28
저수조청소업,-1.05%,-3.11%,0.4
전력기술감리업체,-0.81%,-10.86%,0.31
전력기술설계업체,-1.28%,-23.21%,0.13
전문휴양업,4.34%,809.98%,0.0
전통사찰,-0.18%,-100.0%,0.18
전화권유판매업,1.21%,2.42%,0.4
제과점영업,30.04%,19.8%,0.03
제재업,1.03%,10.08%,0.3
종축업,0.03%,1.16%,0.49
종합여행업,56.94%,135.37%,0.0
종합유원시설업,-0.18%,-100.0%,0.21
종합체육시설업,0.09%,5.9%,0.47
즉석판매제조가공업,183.94%,16.87%,0.07
지하수시공업체,-2.24%,-13.46%,0.19
지하수영향조사기관,-1.71%,-31.35%,0.07
지하수정화업체,-0.39%,-61.13%,0.19
집단급식소,-68.28%,-39.58%,0.01
집단급식소식품판매업,-2.14%,-3.41%,0.42
집유업,0.21%,601.2%,0.0
청소년게임제공업,2.92%,9.36%,0.26
체력단련장업,42.1%,32.16%,0.0
체육도장업,-25.42%,-29.89%,0.17
축산가공업,-0.96%,-2.3%,0.4
축산물보관업,1.18%,16.75%,0.16
축산물운반업,4.83%,27.16%,0.15
축산판매업,-16.08%,-4.93%,0.29
출판사,-25.53%,-6.15%,0.22
치과기공소,1.12%,6.46%,0.26
통신판매업,1899.78%,11.95%,0.1
특정고압가스업,-3.44%,-9.72%,0.22
한옥체험업,9.39%,84.58%,0.0
환경관리대행기관,20.11%,157.49%,0.0
환경전문공사업,32.82%,126.61%,0.0
환경측정대행업,26.21%,109.02%,0.0
환경컨설팅회사,22.83%,548.07%,0.0
후원방문판매업체,107.43%,55.14%,0.03
휴게음식점,299.74%,13.53%,0.06
---------------------------------------------------
가축분뇨 수집운반업,-0.34%,-27.91%,0.22
가축분뇨배출시설관리업(사업장),0.25%,33.36%,0.28
가축사육업,-127.97%,-28.25%,0.11
가축인공수정소,0.48%,22.54%,0.27
개인하수처리시설관리업(사업장),-0.03%,-1.35%,0.48
건강기능식품유통전문판매업,7.86%,16.98%,0.14
건강기능식품일반판매업,536.96%,41.15%,0.05
건물위생관리업,3.91%,3.39%,0.46
건설폐기물처리업,1.3%,56.09%,0.01
게임물배급업,-0.73%,-14.35%,0.3
게임물제작업,-0.41%,-4.69%,0.4
